track_artist,n_tracks,n_albums,playlist_reach,n_genres,n_subgenres,avg_popularity,max_popularity,std_popularity,latest_release,dominant_genre,dominant_subgenre,avg_danceability,avg_energy,avg_loudness,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,days_since_release,recency_score,campaign_lift_score,relevance_grade,artist_id
Nekfeu,2,1,1,1,1,0.0,0,0.0,2015-06-08,r&b,urban contemporary,0.8405,0.591,-5.9085,0.29700000000000004,0.187,0.0,0.11449999999999999,0.3505,93.0385,1687,0.17787524366471733,-1.1770644928436018,1,Nekfeu
Nellie Tiger Travis,2,2,1,1,1,36.0,37,1.4142135623730951,2017-05-01,rap,southern hip hop,0.771,0.6275000000000001,-5.78,0.1613,0.08234999999999999,0.0219,0.08245,0.917,157.4765,994,0.26857983811626196,-0.5052226850809343,3,Nellie Tiger Travis
Nelly,17,8,5,3,5,45.76470588235294,77,25.153353185422183,2010-01-01,rap,southern hip hop,0.7995294117647059,0.645235294117647,-7.146705882352941,0.13202941176470587,0.09031764705882353,0.00042308999999999994,0.19,0.6594705882352941,135.48276470588235,3671,0.0904360753221011,0.4692022991779846,6,Nelly
Nelson Leeroy,2,1,2,2,2,22.0,22,0.0,2020-01-10,edm,big room,0.841,0.853,-4.378,0.0393,0.0463,0.0443,0.0385,0.803,125.003,10,0.9733333333333333,-2.2386922428733866,0,Nelson Leeroy
Nena,4,3,3,2,3,46.25,73,25.953484030729545,2004-06-14,pop,permanent wave,0.52125,0.4635,-10.707,0.085725,0.10074999999999999,0.000220385,0.11375,0.51875,144.5225,5698,0.060201220517895435,-0.2831140192422196,3,Nena
Nengo Flow,4,3,3,2,3,58.5,63,6.60807586719967,2019-11-29,latin,trap,0.6515,0.69825,-6.3995,0.198075,0.17393,1.985e-06,0.211425,0.6585000000000001,114.27825,52,0.8752997601918464,0.6112211038597855,6,Nengo Flow
Neo Pistea,4,4,3,1,1,59.5,69,9.146948489341495,2019-10-03,rap,trap,0.82825,0.60875,-5.86875,0.0979,0.4235,0.0,0.121825,0.652,123.51724999999999,109,0.770042194092827,0.7619450480381409,7,Neo Pistea
Neon Dreams,2,2,1,1,1,1.0,2,1.4142135623730951,2019-01-04,pop,electropop,0.7875,0.877,-4.0600000000000005,0.257,0.047950000000000007,0.0,0.1356,0.7195,113.5395,381,0.4892761394101877,-0.3568546065433801,3,Neon Dreams
Neon Indian,2,2,1,1,1,47.5,48,0.7071067811865476,2013-09-24,pop,electropop,0.5495,0.909,-4.031499999999999,0.040650000000000006,0.0028,0.0035865,0.10705,0.53,146.9905,2309,0.13649962602842183,-0.1939211382079858,4,Neon Indian
Neon Trees,4,2,3,3,3,66.5,68,1.7320508075688772,2012-01-01,pop,post-teen pop,0.4765,0.8785000000000001,-4.7585,0.051750000000000004,0.001678,0.0,0.33899999999999997,0.7324999999999999,151.5,2941,0.1104053236539625,-0.5135307103138288,2,Neon Trees
Neto Peña,2,2,1,1,1,46.0,47,1.4142135623730951,2019-12-20,rap,hip hop,0.808,0.7795000000000001,-6.161,0.06325,0.441,0.0,0.1144,0.8240000000000001,110.01400000000001,31,0.9217171717171717,0.4021660895070889,6,Neto Peña
Netsky,3,2,2,2,2,33.0,46,19.974984355438178,2018-12-14,edm,progressive electro house,0.6046666666666667,0.7333333333333334,-5.224333333333333,0.06126666666666667,0.05773333333333333,0.010045199999999999,0.12226666666666668,0.3425,122.62833333333333,402,0.4758800521512386,-0.29531187560984373,4,Netsky
